City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,Esperance,-33.8667,121.9,clear sky,48.76,84,0,12.1,AU,2022-08-07 20:37:07
90,Vanavara,60.34,102.2797,overcast clouds,49.95,93,99,2.8,RU,2022-08-07 20:38:08
91,Fort Nelson,58.8053,-122.7002,shower rain,74.79,41,75,10.36,CA,2022-08-07 20:38:08
92,Fukue,32.6881,128.8419,scattered clouds,82.76,82,50,12.03,JP,2022-08-07 20:38:08
93,Chuy,-33.6971,-53.4616,clear sky,48.92,83,6,9.28,UY,2022-08-07 20:38:09
94,Pevek,69.7008,170.3133,overcast clouds,32.43,94,100,16.93,RU,2022-08-07 20:38:09
95,Kaputa,-8.4689,29.6619,clear sky,69.75,46,0,0.98,ZM,2022-08-07 20:38:10
96,Urengoy,65.9667,78.3667,broken clouds,57.7,92,76,7.27,RU,2022-08-07 20:38:10
97,Bathsheba,13.2167,-59.5167,broken clouds,84.81,92,75,19.57,BB,2022-08-07 20:38:11
98,Port Hedland,-20.3167,118.5667,clear sky,53.65,82,0,5.75,AU,2022-08-07 20:38:11
99,Basco,20.4487,121.9702,overcast clouds,84.94,74,100,17.0,PH,2022-08-07 20:38:12
100,Terrace,54.5163,-128.6035,broken clouds,69.71,60,75,8.05,CA,2022-08-07 20:37:42
101,Malakal,9.5334,31.6605,light rain,72.64,94,100,5.21,SS,2022-08-07 20:38:12
102,Padang,-0.9492,100.3543,overcast clouds,76.69,86,90,3.31,ID,2022-08-07 20:38:13
103,Sarangani,5.4033,125.4636,overcast clouds,81.28,78,100,18.59,PH,2022-08-07 20:38:14
104,Pacific Grove,36.6177,-121.9166,clear sky,80.38,73,0,12.66,US,2022-08-07 20:38:14
105,Belomorsk,64.5232,34.7668,scattered clouds,54.99,72,40,9.22,RU,2022-08-07 20:38:14
106,Serenje,-13.2325,30.2352,clear sky,54.41,53,2,2.37,ZM,2022-08-07 20:38:15
107,Mezhova,48.2532,36.7347,clear sky,71.53,34,3,8.7,UA,2022-08-07 20:38:15
108,Shimoda,34.6667,138.95,scattered clouds,78.1,88,41,7.11,JP,2022-08-07 20:38:16
109,Acari,-15.4311,-74.6158,scattered clouds,67.53,67,47,8.34,PE,2022-08-07 20:38:16
110,Port Hardy,50.6996,-127.4199,scattered clouds,62.6,88,40,2.3,CA,2022-08-07 20:35:29
